tweet_id,information,inference,confidence,worker,topic,phase
1433222577007198208,1,0,1,A,abortion,extension_1
1433771702912159748,0,1,1,A,abortion,extension_1
1435676853189152775,1,1,1,A,abortion,extension_1
1433671361738813496,1,1,1,A,abortion,extension_1
1435526184796835842,0,1,1,A,abortion,extension_1
1438252969200394244,0,1,2,A,abortion,extension_1
1433444802755022860,1,0,1,A,abortion,extension_1
1433253512662630400,1,0,1,A,abortion,extension_1
1444437299735920641,0,0,1,A,abortion,extension_1
1433507051980873728,0,1,1,A,abortion,extension_1
1434350953298268162,1,1,1,A,abortion,extension_1
1436105335446646789,0,0,1,A,abortion,extension_1
1434684413246197763,1,1,1,A,abortion,extension_1
1429383278163804163,1,1,1,A,abortion,extension_1
1436365125787824132,0,1,1,A,abortion,extension_1
1435007518640689155,0,1,2,A,abortion,extension_1
1433398059031875584,1,0,1,A,abortion,extension_1
1435296628605259776,1,0,1,A,abortion,extension_1
1433414443774488584,1,1,1,A,abortion,extension_1
1442769752556912648,1,1,1,A,abortion,extension_1
1443337462793842688,1,0,1,A,abortion,extension_1
1433275384653651970,1,1,1,A,abortion,extension_1
1448629668660322315,1,0,1,A,abortion,extension_1
1433378972981776389,1,0,1,A,abortion,extension_1
1434209623330983936,1,0,1,A,abortion,extension_1
1436306859170975745,1,0,1,A,abortion,extension_1
1433563700493910019,1,1,1,A,abortion,extension_1
1433767871218343971,1,0,1,A,abortion,extension_1
1433825857865281537,1,1,1,A,abortion,extension_1
1448337995271131137,1,0,1,A,abortion,extension_1
1433162130237181952,0,0,1,A,abortion,extension_1
1430897628095520781,1,1,1,A,abortion,extension_1
1436155616272265216,1,0,1,A,abortion,extension_1
1438139518104870915,1,0,1,A,abortion,extension_1
1433706737505292303,1,0,1,A,abortion,extension_1
1433524836425474061,1,1,1,A,abortion,extension_1
1445976115969880065,0,1,1,A,abortion,extension_1
1433744599357562884,0,1,1,A,abortion,extension_1
1442625531170770952,1,1,1,A,abortion,extension_1
1434371921987133441,0,0,1,A,abortion,extension_1
1445921589426593792,1,0,1,A,abortion,extension_1
1438245556409798663,0,1,1,A,abortion,extension_1
1437526511624589314,0,1,1,A,abortion,extension_1
1439978589399789583,1,0,1,A,abortion,extension_1
1435588849196011526,1,0,1,A,abortion,extension_1
1441564147536121859,1,0,1,A,abortion,extension_1
1428816379818381315,1,1,1,A,abortion,extension_1
1434630848498728961,1,0,1,A,abortion,extension_1
1428035064110088193,1,0,1,A,abortion,extension_1
1444621602856083463,1,0,1,A,abortion,extension_1
1427643282578976769,1,0,1,A,abortion,extension_1
1434308432056623106,0,1,1,A,abortion,extension_1
1444294023192141825,1,0,1,A,abortion,extension_1
1436129009658744842,1,0,1,A,abortion,extension_1
1428188766670315522,1,1,1,A,abortion,extension_1
1433767464907821057,1,0,1,A,abortion,extension_1
1443678905005654022,1,0,1,A,abortion,extension_1
1435221550802800642,0,1,1,A,abortion,extension_1
1435140241417850883,0,1,2,A,abortion,extension_1
1446547007103963137,1,0,1,A,abortion,extension_1
1443693750790725635,0,1,2,A,abortion,extension_1
1433859856906215426,1,0,1,A,abortion,extension_1
1433604428716601349,1,0,1,A,abortion,extension_1
1430533896660295685,1,0,1,A,abortion,extension_1
1444576148432719875,1,1,3,A,abortion,extension_1
1433110574137704449,0,0,1,A,abortion,extension_1
1446483371337596930,1,0,1,A,abortion,extension_1
1433343934806245376,0,1,1,A,abortion,extension_1
1443273626866761729,1,0,1,A,abortion,extension_1
1440130460265418754,1,0,1,A,abortion,extension_1
1433091882976829445,1,1,1,A,abortion,extension_1
1448345564685340675,1,0,1,A,abortion,extension_1
1433179801540382721,0,1,1,A,abortion,extension_1
1431244750116564992,1,1,1,A,abortion,extension_1
1440095931588874242,1,0,1,A,abortion,extension_1
1448823752444289027,1,1,1,A,abortion,extension_1
1434879194547331079,1,1,2,A,abortion,extension_1
1434845178360172544,1,1,1,A,abortion,extension_1
1439579154014429193,1,0,2,A,abortion,extension_1
1441090573268447237,1,0,1,A,abortion,extension_1
1433136387172208643,1,1,1,A,abortion,extension_1
1437474167696281600,1,0,1,A,abortion,extension_1
1433609676172800003,1,1,1,A,abortion,extension_1
1433502763464331276,0,1,1,A,abortion,extension_1
1438745256011321348,1,0,1,A,abortion,extension_1
1433210997062389761,1,1,2,A,abortion,extension_1
1437473547811708936,1,0,1,A,abortion,extension_1
1433174738134839296,1,1,2,A,abortion,extension_1
1433108438687653892,0,1,2,A,abortion,extension_1
1433525015337750531,1,0,1,A,abortion,extension_1
1434427363580841986,0,0,1,A,abortion,extension_1
1439620303479615491,1,0,1,A,abortion,extension_1
1433844386606030858,1,0,2,A,abortion,extension_1
1439987749465964548,1,0,1,A,abortion,extension_1
1444355252409536517,1,1,2,A,abortion,extension_1
1438280724809928706,0,1,2,A,abortion,extension_1
1433364207118979072,1,0,1,A,abortion,extension_1
1433339018788417536,1,1,3,A,abortion,extension_1
1434916385453326336,1,0,1,A,abortion,extension_1
1430293764921339907,1,0,1,A,abortion,extension_1
1434512370341142530,1,1,1,A,abortion,extension_2
1444734302823059459,1,0,1,A,abortion,extension_2
1434116151160811520,0,0,1,A,abortion,extension_2
1433429236363128842,0,1,1,A,abortion,extension_2
1442018249919524870,1,0,1,A,abortion,extension_2
1434154343716966403,1,0,1,A,abortion,extension_2
1433171236427870215,1,1,2,A,abortion,extension_2
1445855837520424964,1,1,1,A,abortion,extension_2
1435422140149510149,1,0,1,A,abortion,extension_2
1444380252386566150,1,0,1,A,abortion,extension_2
1433425692985753607,1,1,2,A,abortion,extension_2
1433950322599202820,1,0,1,A,abortion,extension_2
1434204981746409476,1,0,2,A,abortion,extension_2
1434051970541801474,0,1,1,A,abortion,extension_2
1432411176764428289,0,0,1,A,abortion,extension_2
1443002712560312329,0,1,1,A,abortion,extension_2
1443304398847942666,1,0,1,A,abortion,extension_2
1434829771955920900,1,0,2,A,abortion,extension_2
1433881419651158025,0,1,1,A,abortion,extension_2
1449097101107937283,1,0,2,A,abortion,extension_2
1442265359201886209,0,0,1,A,abortion,extension_2
1443783233888563202,1,0,1,A,abortion,extension_2
1448978846749974530,1,0,1,A,abortion,extension_2
1433429559202832393,1,0,1,A,abortion,extension_2
1443588959037104135,1,0,1,A,abortion,extension_2
1444404700355260419,1,0,1,A,abortion,extension_2
1441753981252898824,1,0,1,A,abortion,extension_2
1433151766485520384,1,0,1,A,abortion,extension_2
1436650201670946821,1,0,1,A,abortion,extension_2
1442927988345954311,1,0,1,A,abortion,extension_2
1447321757782839305,1,1,1,A,abortion,extension_2
1445044517602725888,1,1,1,A,abortion,extension_2
1434565809700024326,1,1,1,A,abortion,extension_2
1435063261800681473,1,1,1,A,abortion,extension_2
1435161293267292160,1,1,1,A,abortion,extension_2
1433513238893826050,0,1,2,A,abortion,extension_2
1433890075964805124,1,0,1,A,abortion,extension_2
1441437383434539012,1,0,1,A,abortion,extension_2
1433792267765047299,0,1,1,A,abortion,extension_2
1446650102496497666,0,1,1,A,abortion,extension_2
1448853008452890647,0,0,1,A,abortion,extension_2
1433545273410834434,1,0,1,A,abortion,extension_2
1448518727809605637,1,1,2,A,abortion,extension_2
1444736233444462594,1,0,1,A,abortion,extension_2
1437350850469453828,1,0,1,A,abortion,extension_2
1437980874100805632,0,1,1,A,abortion,extension_2
1441201116545380370,1,0,1,A,abortion,extension_2
1438732663708389378,1,0,1,A,abortion,extension_2
1431995188260454409,1,0,1,A,abortion,extension_2
1437034773013204999,0,1,2,A,abortion,extension_2
1433994416088236035,1,1,2,A,abortion,extension_2
1433188517991960581,0,1,1,A,abortion,extension_2
1434950625444438018,0,1,1,A,abortion,extension_2
1433626200224649217,1,0,1,A,abortion,extension_2
1445174394201026574,1,1,2,A,abortion,extension_2
1433840092792168464,1,0,1,A,abortion,extension_2
1439228312774135808,1,0,1,A,abortion,extension_2
1427613956861005825,1,1,1,A,abortion,extension_2
1443082020192616449,1,0,1,A,abortion,extension_2
1433176626783719425,1,1,1,A,abortion,extension_2
1437122756949286915,1,0,1,A,abortion,extension_2
1441185777619292160,0,0,1,A,abortion,extension_2
1433556330317430785,1,0,1,A,abortion,extension_2
1434673524367626240,1,1,1,A,abortion,extension_2
1433694692328214529,1,1,1,A,abortion,extension_2
1433411141645045761,1,0,2,A,abortion,extension_2
1428450917939138564,0,0,1,A,abortion,extension_2
1434988997168746497,0,0,1,A,abortion,extension_2
1433588929526214791,1,0,1,A,abortion,extension_2
1443693287773200387,1,0,1,A,abortion,extension_2
1435582763365699596,0,1,1,A,abortion,extension_2
1438099187351052293,1,0,1,A,abortion,extension_2
1443499618290081795,1,0,1,A,abortion,extension_2
1433780955571884037,0,0,1,A,abortion,extension_2
1441371242435530752,1,0,1,A,abortion,extension_2
1433624869997010951,0,1,1,A,abortion,extension_2
1430201896783032323,1,1,1,A,abortion,extension_2
1442796972864425984,1,1,1,A,abortion,extension_2
1434253127465648128,1,0,1,A,abortion,extension_2
1443956826496765958,0,0,1,A,abortion,extension_2
1442677280183029760,1,1,1,A,abortion,extension_2
1443998650280120339,1,0,1,A,abortion,extension_2
1433366891775643655,1,0,1,A,abortion,extension_2
1433169039992438784,0,1,2,A,abortion,extension_2
1434719268193460227,1,1,1,A,abortion,extension_2
1444106074198585344,1,0,1,A,abortion,extension_2
1433462274849656843,1,0,2,A,abortion,extension_2
1444708227753578506,0,1,1,A,abortion,extension_2
1434217111908495374,1,1,2,A,abortion,extension_2
1448015924993445891,1,0,1,A,abortion,extension_2
